ID,Type,Title,Epic,Release,Module,Labels,Sprint Refs,Description
AUTH,Epic,Identity & sessions,,R1,auth,"auth,security",BF-030,"Login, rotating refresh sessions, password reset/activation, impersonation with audit. Detail: docs/auth/user-stories.md E1–E3. Folds BF-030 (password rules shown up-front, special chars)."
TEN,Epic,Tenancy & profiles,,R1,tenancy,"tenancy",BF-045,"Profiles + satellites, profile switching, business identity/timezone/address. Detail: docs/settings/user-stories.md E1–E2, E8. Folds BF-045 (zipcode input bug)."
TEAM,Epic,Teams & per-profile roles,,R2,tenancy,"tenancy,rbac,net-new",BF-023,"Net-new (v1 Teams tab was a stub). Invites, accept flow, member management, role enforcement (owner/admin/member). Stories TEAM-1.1–1.5 in docs/foundation/04-epics-and-stories.md."
BILL,Epic,"Billing, plans & entitlements",,R2,billing,"billing,net-new",,"Net-new (v1 Gold/Platinum was hardcoded UI text). Stripe Billing, plan catalog, entitlement gating, dunning, staff overrides. Stories BILL-1.1–1.5."
ONBD,Epic,Onboarding wizard (real backend),,R3,tenancy,"onboarding,net-new",,"Net-new (v1 wizard was an unwired mockup). Resumable setup state, company/questionnaire/team/accounts/automation steps, default content seeding. Stories ONBD-1.1–1.7."
CONT,Epic,Contacts,,R1,contacts,"contacts",BF-015 BF-024 BF-050 BF-014 BF-012 BF-037,"Address book: list/create/edit, tags, lifecycle, activity timeline, CSV import (async, per-row outcomes), export, auto-activation. Detail: docs/contacts/user-stories.md E1–E7."
REV,Epic,Reviews feed & sharing,,R1,reviews,"reviews",BF-026 BF-025 BF-035 BF-036 BF-004 BF-049 BF-048 BF-006 BF-042,"Unified review feed, manual add, reply, branded review-image render, share/schedule, auto-share config with threshold + template round-robin, calendar. Detail: docs/reviews/user-stories.md R1–R6."
FUN,Epic,Design & funnel,,R1,funnel,"funnel",BF-002 BF-003 BF-028,"Funnel editors (canonical — reviews F1/F2/P1 are summaries), platform-link manager, public funnel SSR. Detail: docs/design-funnel/user-stories.md D1–D3."
MEDIA,Epic,Media library,,R1,media,"media",,"S3 presigned upload, reference-counted usage, reference-aware delete. Detail: docs/media/user-stories.md M1–M4."
CAMP,Epic,Campaigns & eligibility engine,,R2,campaigns,"campaigns,send-pipeline",BF-038 BF-027 BF-007 BF-010,"Email/SMS invite campaigns, single derived eligibility engine (fixes v1 activator/reconcile split-brain), editor, stats on read models, drip presets. Detail: docs/campaigns/user-stories.md C1–C6."
MSG,Epic,Connect messaging & calls,,R2,messaging,"messaging,sms",BF-022 BF-031,"Two-way SMS inbox (SSE real-time), broadcast, scheduled messages, keyword auto-responder, calls/forwarding, number provisioning. Detail: docs/messaging/user-stories.md M1–M7."
CMPL,Epic,Twilio A2P + TFV + consent pages,,R2,compliance,"compliance,sms",,"A2P 10DLC wizard, toll-free verification (Twilio Embeddable per AD-15, stories TFV-1.1–1.6), public unsubscribe + FB data-deletion pages. Detail: docs/compliance/user-stories.md E1–E6."
SOC,Epic,Social publishing & planner,,R3,social,"social",BF-044 BF-043 BF-041,"Composer, timeline, retry/edit/delete posts, testimonial sharing, content planner (single campaign engine), insights. Detail: docs/social/user-stories.md."
SUR,Epic,Surveys,,R3,surveys,"surveys",BF-009 BF-008 BF-040 BF-011 BF-039,"Builder, public taking page, results/export, prebuilt templates, completion notifications (exactly-once, resilient). Detail: docs/surveys/user-stories.md E1–E5."
WID,Epic,Widgets,,R3,widgets,"widgets",,"7 widget types as iframe SSR embeds, typed jsonb config (off profile), chat lead capture. Detail: docs/widgets/user-stories.md E1–E6."
ANLY,Epic,Analytics & dashboard,,R3,analytics,"analytics,read-only",BF-013 BF-032 BF-029 BF-010,"Dashboard tabs on denormalized read models (replica-ready), GBP insights, keywords, targets, nav badges. Detail: docs/analytics/user-stories.md."
INT,Epic,"Integrations, OAuth vault & webhooks",,R2,integrations,"integrations,security",BF-046,"Provider gateways + error taxonomy, AES-GCM token vault, connect/disconnect lifecycle with grace-period cascade, verified webhooks. Detail: docs/integrations/user-stories.md E1–E5."
PLAT,Epic,New review platforms,,R4,integrations,"integrations,net-new,feasibility-gated",BF-016 BF-017 BF-018 BF-019 BF-020 BF-021 BF-034,"WeddingWire, The Knot, Houzz (wave 1); RateMyAgent, Avvo, Homes/Angie, Redfin (wave 2). Each gated by PLAT-0.1 API feasibility spike. Stories PLAT-0.1–1.4."
AI,Epic,AI template & content generation,,R4,reviews,"ai,net-new",BF-005 BF-047,"Custom review templates, AI-generated share copy (quota-gated entitlement), real AI-usage metric. Stories AI-1.1–1.3."
